AAAP,Advanced Accelerator Applications S.A.,34.97,$1.37B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap,
AAL,"American Airlines Group, Inc.",36.92,$21.35B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal,
AAME,Atlantic American Corporation,4.24,$86.47M,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/aame,
AAOI,"Applied Optoelectronics, Inc.",10.9,$185.91M,2013,Technology,Semiconductors,http://www.nasdaq.com/symbol/aaoi,
AAON,"AAON, Inc.",27.05,$1.43B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,
AAPC,Atlantic Alliance Partnership Corp.,10.3,$106.99M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/aapc,
AAPL,Apple Inc.,104.35,$578.58B,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl,
AAVL,"Avalanche Biotechnologies, Inc.",6.14,$164.92M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aavl,
AAWW,Atlas Air Worldwide Holdings,40.94,$1.01B,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/aaww,
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,55.04,$3.11B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aaxj,
ABAC,"Aoxin Tianli Group, Inc.",0.739,$24.52M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/abac,
ABAX,"ABAXIS, Inc.",45.96,$1.04B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,
ABCB,Ameris Bancorp,31.8,$1.02B,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb,
ABCD,"Cambium Learning Group, Inc.",4.76,$217.7M,n/a,Consumer Services,Publishing,http://www.nasdaq.com/symbol/abcd,
ABCO,The Advisory Board Company,31.49,$1.31B,2001,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/abco,
ABCW,Anchor BanCorp Wisconsin Inc.,47.03,$451.37M,2014,Finance,Banks,http://www.nasdaq.com/symbol/abcw,
ABDC,Alcentra Capital Corp.,11.43,$154.5M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abdc,
ABEO,Abeona Therapeutics Inc.,2.73,$89.39M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo,
ABEOW,Abeona Therapeutics Inc.,0.75,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow,
ABGB,"Abengoa, S.A.",1.38,$254.15M,2013,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/abgb,
ABIL,Ability Inc.,7.05,$74.27M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil,
ABIO,"ARCA biopharma, Inc.",4.08,$36.95M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/abio,
ABMD,"ABIOMED, Inc.",102.03,$4.33B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,
ABTL,Autobytel Inc.,18.09,$192.24M,1999,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/abtl,
ABTX,"Allegiance Bancshares, Inc.",21.4,$274.88M,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/abtx,
ABUS,Arbutus Biopharma Corporation,5.27,$287.88M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abus,
ABY,Abengoa Yield plc,18.59,$1.86B,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aby,
ACAD,ACADIA Pharmaceuticals Inc.,32.62,$3.67B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,
ACAS,"American Capital, Ltd.",15.71,$3.76B,1997,n/a,n/a,http://www.nasdaq.com/symbol/acas,
ACAT,Arctic Cat Inc.,16.97,$221.03M,1990,Capital Goods,Industrial Specialties,http://www.nasdaq.com/symbol/acat,
ACBI,"Atlantic Capital Bancshares, Inc.",14.2,$348.63M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acbi,
ACET,Aceto Corporation,23.69,$700.08M,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet,
ACFC,Atlantic Coast Financial Corporation,6.34,$98.33M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/acfc,
ACGL,Arch Capital Group Ltd.,71.3,$8.7B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/acgl,
ACHC,"Acadia Healthcare Company, Inc.",63.39,$5.53B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,
ACHN,"Achillion Pharmaceuticals, Inc.",8.88,$1.21B,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn,
ACIW,"ACI Worldwide, Inc.",20.93,$2.49B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw,
ACLS,"Axcelis Technologies, Inc.",2.94,$341.49M,2000,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acls,
ACNB,ACNB Corporation,22.57,$136.32M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb,
ACOR,"Acorda Therapeutics, Inc.",29.04,$1.33B,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor,
ACPW,"Active Power, Inc.",0.52,$12.02M,2000,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/acpw,
ACRS,"Aclaris Therapeutics, Inc.",21.78,$439.03M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs,
ACRX,"AcelRx Pharmaceuticals, Inc.",3.54,$160.27M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx,
ACSF,"American Capital Senior Floating, Ltd.",9.84,$98.4M,2014,n/a,n/a,http://www.nasdaq.com/symbol/acsf,
ACST,"Acasti Pharma, Inc.",1.4,$15M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst,
ACTA,Actua Corporation,9.63,$387.65M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta,
ACTG,Acacia Research Corporation,4.55,$229.59M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg,
ACTS,"Actions Semiconductor Co., Ltd.",1.7401,$77.12M,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/acts,
ACTX,Global X Guru Activist ETF,13.1,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/actx,
ACUR,"Acura Pharmaceuticals, Inc.",3.38,$40M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acur,
ACWI,iShares MSCI ACWI Index Fund,57.5,$6.24B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acwi,
ACWX,iShares MSCI ACWI ex US Index Fund,40.9,$1.82B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acwx,
ACXM,Acxiom Corporation,21.86,$1.7B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm,
ADAP,Adaptimmune Therapeutics plc,9.45,$668.92M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap,
ADBE,Adobe Systems Incorporated,96.15,$48.1B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe,
ADHD,Alcobra Ltd.,4.37,$120.44M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd,
ADI,"Analog Devices, Inc.",59.33,$18.39B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi,
ADMA,ADMA Biologics Inc,7.31,$78.31M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma,
ADMP,Adamis Pharmaceuticals Corporation,8.15,$109.69M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp,
ADMS,"Adamas Pharmaceuticals, Inc.",17.62,$377.37M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms,
ADP,"Automatic Data Processing, Inc.",89.79,$41.07B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/adp,
ADRA,BLDRS Asia 50 ADR Index Fund,26.522,$23.87M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adra,
